id,latitude,longitude,time,magnitude
1,9.3573,93.9828,2023-12-05 14:45:03,4.8
2,12.1803,95.2262,2023-11-29 08:12:24,4.8
3,12.6576,95.2787,2023-11-26 19:24:22,4.5
4,12.6444,95.2808,2023-11-26 18:16:26,4.3
5,9.1061,93.9918,2023-11-20 20:01:32,4.3
6,9.5337,93.8467,2023-11-19 13:06:42,4.3
7,9.3365,94.0812,2023-11-11 14:37:18,4.4
8,12.8381,91.724,2023-11-10 15:49:17,4.3
9,9.4971,94.0862,2023-11-09 20:55:05,4.4
10,13.4736,92.909,2023-11-08 23:21:32,4.5
11,14.67,96.1897,2023-11-03 10:33:31,4.4
12,10.9243,93.0553,2023-11-01 12:51:14,5.2
13,13.9893,92.8694,2023-10-20 00:20:08,4.4
14,9.4496,93.9888,2023-10-18 13:25:10,4.4
15,9.3696,94.0097,2023-10-16 23:13:31,4.5
16,12.1921,92.7649,2023-10-08 08:10:51,4.5
17,9.2935,93.8804,2023-10-07 23:57:26,4.5
18,9.2548,93.8582,2023-10-07 21:49:41,4.6
19,17.5005,95.7323,2023-09-23 20:23:19,4.4
20,17.1447,96.1004,2023-09-23 14:24:34,4.8
21,9.2199,93.8879,2023-09-03 09:59:03,4.7
22,9.4069,93.8627,2023-09-01 05:27:51,4.2
23,11.1246,93.6704,2023-08-28 22:20:12,4.3
24,9.1639,93.8846,2023-08-23 13:24:21,4.2
25,9.0904,93.8083,2023-08-23 13:13:33,4.4
26,9.1561,93.9692,2023-08-18 07:32:38,4.7
27,9.0272,93.9337,2023-08-18 06:40:50,4.6
28,9.5714,93.9359,2023-08-18 06:37:33,4.7
29,9.254,93.9135,2023-08-14 11:12:21,4.8
30,9.55,93.8361,2023-08-10 21:25:57,4.5
31,10.4485,93.4368,2023-08-10 18:13:36,4.1
32,9.0073,93.9087,2023-08-08 19:29:05,4.5
33,8.8732,93.8368,2023-08-07 07:23:27,5.1
34,9.1768,93.8337,2023-08-06 09:45:46,4.4
35,11.8507,92.0472,2023-08-05 09:09:25,4.8
36,9.1503,93.5087,2023-08-03 11:39:05,4.9
37,9.5163,94.0695,2023-08-02 01:07:17,5.2
38,9.3869,93.9173,2023-08-02 00:10:11,5.2
39,9.2693,93.9045,2023-08-01 13:38:51,4.5
40,10.5403,93.5342,2023-07-28 19:23:48,5.9
41,13.792,94.1092,2023-07-13 05:02:32,4.5
42,13.1442,93.2891,2023-07-10 00:01:47,4.2
43,16.2764,99.9211,2023-06-28 17:17:56,4.1
44,9.3365,93.7769,2023-06-26 18:05:37,4.6
45,9.2868,93.5555,2023-06-26 13:32:03,4.9
46,13.7408,92.7235,2023-06-26 12:52:59,4.7
47,9.0468,93.8134,2023-06-26 11:31:59,4.3
48,15.3774,96.1679,2023-06-22 06:34:11,4.1
49,15.4378,96.2622,2023-06-22 00:12:56,4.9
50,15.4197,96.356,2023-06-21 21:58:31,4.3
51,15.2265,96.4824,2023-06-21 21:22:06,4.4
52,15.3125,96.3708,2023-06-21 18:26:27,4.4
53,15.2518,96.3573,2023-06-21 08:26:42,4.3
54,15.4201,96.1549,2023-06-21 02:47:18,4.6
55,9.1371,93.367,2023-06-21 02:10:42,4.5
56,15.4018,96.2849,2023-06-19 11:36:50,4.7
57,15.4176,95.9513,2023-06-19 04:14:28,4.2
58,15.236,96.1823,2023-06-19 04:13:49,4.6
59,15.282,96.365,2023-06-19 03:46:55,4.4
60,15.2499,96.2806,2023-06-19 01:40:23,5.6
61,16.8315,95.6686,2023-06-07 10:32:05,4.4
62,16.8733,95.5417,2023-06-07 09:53:50,4.8
63,12.7887,95.5011,2023-06-05 02:09:45,4.6
64,13.407,94.1485,2023-05-29 02:18:17,4.6
65,9.7587,93.5283,2023-05-14 21:43:49,4.0
66,10.972,92.0333,2023-05-09 13:42:18,5.1
67,9.3899,93.8833,2023-04-24 10:58:31,5.1
68,8.9023,93.8885,2023-04-13 03:21:19,4.9
69,9.1853,93.979,2023-04-11 02:08:29,4.5
70,8.9365,93.6767,2023-04-10 17:12:17,4.9
71,9.0663,93.9297,2023-04-10 17:11:50,4.8
72,8.897,93.7742,2023-04-10 16:47:16,4.3
73,8.9611,93.7674,2023-04-10 11:21:22,4.5
74,9.1716,93.8314,2023-04-10 00:54:56,4.6
75,9.0229,93.5628,2023-04-10 00:51:40,4.2
76,8.9923,93.8476,2023-04-09 23:55:02,4.1
77,9.3723,93.8096,2023-04-09 21:00:08,4.1
78,9.0116,93.9224,2023-04-09 20:55:58,5.2
79,13.2395,93.1777,2023-04-09 19:37:44,4.3
80,8.9466,93.9623,2023-04-09 12:47:52,4.4
81,8.9733,93.8322,2023-04-09 12:27:39,4.3
82,9.1656,94.1407,2023-04-09 12:24:01,4.2
83,8.966,93.9695,2023-04-09 12:17:33,5.7
84,9.0971,93.7971,2023-04-09 11:44:44,4.4
85,9.1044,93.9484,2023-04-09 10:44:50,4.4
86,9.0886,93.9474,2023-04-09 10:38:58,4.9
87,8.9326,93.9552,2023-04-09 10:31:20,5.5
88,9.0979,93.9434,2023-04-09 09:29:47,4.6
89,9.3635,93.9687,2023-04-09 09:25:52,4.3
90,8.9963,93.8953,2023-04-09 08:14:50,4.5
91,9.0868,93.9884,2023-04-09 07:46:14,5.3
92,9.1594,93.6124,2023-04-09 06:52:06,4.3
93,9.1198,94.0206,2023-04-08 15:47:41,4.4
94,8.9628,94.0271,2023-04-08 11:24:20,4.3
95,9.1421,93.9949,2023-04-08 11:13:30,4.3
96,9.1273,93.9306,2023-04-08 11:06:11,4.6
97,15.4297,96.0008,2023-04-05 19:54:54,4.3
98,9.0652,93.9053,2023-04-04 17:17:43,5.0
99,11.8777,93.7469,2023-03-31 18:26:41,4.2
100,9.6093,93.7038,2023-03-15 04:52:02,4.0
101,11.0773,91.7251,2023-03-13 13:44:29,4.4
