Time,Latitude,Longitude,Depth (km),Magnitude
2023-12-05T14:45:03.410000Z,9.3573,93.9828,10.0,4.8
2023-11-29T08:12:24.800000Z,12.1803,95.2262,10.0,4.8
2023-11-26T19:24:22.473000Z,12.6576,95.2787,10.0,4.5
2023-11-26T18:16:26.401000Z,12.6444,95.2808,10.0,4.3
2023-11-20T20:01:32.410000Z,9.1061,93.9918,10.825,4.3
2023-11-19T13:06:42.040000Z,9.5337,93.8467,109.301,4.3
2023-11-11T14:37:18.194000Z,9.3365,94.0812,10.0,4.4
2023-11-10T15:49:17.842000Z,12.8381,91.724,10.0,4.3
2023-11-09T20:55:05.871000Z,9.4971,94.0862,10.0,4.4
2023-11-08T23:21:32.691000Z,13.4736,92.909,18.383,4.5
2023-11-03T10:33:31.531000Z,14.67,96.1897,10.0,4.4
2023-11-01T12:51:14.635000Z,10.9243,93.0553,85.977,5.2
2023-10-20T00:20:08.653000Z,13.9893,92.8694,15.998,4.4
2023-10-18T13:25:10.787000Z,9.4496,93.9888,10.0,4.4
2023-10-16T23:13:31.567000Z,9.3696,94.0097,10.254,4.5
2023-10-08T08:10:51.607000Z,12.1921,92.7649,32.723,4.5
2023-10-07T23:57:26.766000Z,9.2935,93.8804,10.0,4.5
2023-10-07T21:49:41.275000Z,9.2548,93.8582,10.0,4.6
2023-09-23T20:23:19.849000Z,17.5005,95.7323,61.226,4.4
2023-09-23T14:24:34.421000Z,17.1447,96.1004,10.0,4.8
2023-09-03T09:59:03.213000Z,9.2199,93.8879,10.0,4.7
2023-09-01T05:27:51.913000Z,9.4069,93.8627,10.0,4.2
2023-08-28T22:20:12.739000Z,11.1246,93.6704,125.227,4.3
2023-08-23T13:24:21.524000Z,9.1639,93.8846,10.0,4.2
2023-08-23T13:13:33.336000Z,9.0904,93.8083,10.0,4.4
2023-08-18T07:32:38.219000Z,9.1561,93.9692,10.0,4.7
2023-08-18T06:40:50.838000Z,9.0272,93.9337,10.0,4.6
2023-08-18T06:37:33.342000Z,9.5714,93.9359,10.0,4.7
2023-08-14T11:12:21.187000Z,9.254,93.9135,10.0,4.8
2023-08-10T21:25:57.650000Z,9.55,93.8361,10.0,4.5
2023-08-10T18:13:36.311000Z,10.4485,93.4368,116.866,4.1
2023-08-08T19:29:05.114000Z,9.0073,93.9087,10.0,4.5
2023-08-07T07:23:27.487000Z,8.8732,93.8368,68.129,5.1
2023-08-06T09:45:46.310000Z,9.1768,93.8337,10.0,4.4
2023-08-05T09:09:25.957000Z,11.8507,92.0472,10.0,4.8
2023-08-03T11:39:05.632000Z,9.1503,93.5087,24.426,4.9
2023-08-02T01:07:17.066000Z,9.5163,94.0695,10.0,5.2
2023-08-02T00:10:11.662000Z,9.3869,93.9173,10.0,5.2
2023-08-01T13:38:51.353000Z,9.2693,93.9045,10.0,4.5
2023-07-28T19:23:48.220000Z,10.5403,93.5342,104.262,5.9
2023-07-13T05:02:32.249000Z,13.792,94.1092,39.377,4.5
2023-07-10T00:01:47.570000Z,13.1442,93.2891,35.0,4.2
2023-06-28T17:17:56.123000Z,16.2764,99.9211,11.004,4.1
2023-06-26T18:05:37.303000Z,9.3365,93.7769,10.0,4.6
2023-06-26T13:32:03.058000Z,9.2868,93.5555,10.0,4.9
2023-06-26T12:52:59.977000Z,13.7408,92.7235,10.0,4.7
2023-06-26T11:31:59.558000Z,9.0468,93.8134,10.0,4.3
2023-06-22T06:34:11.948000Z,15.3774,96.1679,10.0,4.1
2023-06-22T00:12:56.808000Z,15.4378,96.2622,13.561,4.9
2023-06-21T21:58:31.267000Z,15.4197,96.356,10.0,4.3
2023-06-21T21:22:06.596000Z,15.2265,96.4824,10.0,4.4
2023-06-21T18:26:27.016000Z,15.3125,96.3708,10.0,4.4
2023-06-21T08:26:42.073000Z,15.2518,96.3573,10.0,4.3
2023-06-21T02:47:18.225000Z,15.4201,96.1549,10.0,4.6
2023-06-21T02:10:42.233000Z,9.1371,93.367,10.0,4.5
2023-06-19T11:36:50.653000Z,15.4018,96.2849,10.0,4.7
2023-06-19T04:14:28.053000Z,15.4176,95.9513,10.0,4.2
2023-06-19T04:13:49.771000Z,15.236,96.1823,10.0,4.6
2023-06-19T03:46:55.095000Z,15.282,96.365,13.615,4.4
2023-06-19T01:40:23.133000Z,15.2499,96.2806,7.816,5.6
2023-06-07T10:32:05.013000Z,16.8315,95.6686,14.76,4.4
2023-06-07T09:53:50.740000Z,16.8733,95.5417,10.0,4.8
2023-06-05T02:09:45.108000Z,12.7887,95.5011,10.0,4.6
2023-05-29T02:18:17.682000Z,13.407,94.1485,10.0,4.6
2023-05-14T21:43:49.463000Z,9.7587,93.5283,9.846,4.0
2023-05-09T13:42:18.282000Z,10.972,92.0333,10.0,5.1
2023-04-24T10:58:31.890000Z,9.3899,93.8833,7.192,5.1
2023-04-13T03:21:19.417000Z,8.9023,93.8885,10.0,4.9
2023-04-11T02:08:29.426000Z,9.1853,93.979,10.0,4.5
2023-04-10T17:12:17.347000Z,8.9365,93.6767,9.968,4.9
2023-04-10T17:11:50.820000Z,9.0663,93.9297,13.852,4.8
2023-04-10T16:47:16.451000Z,8.897,93.7742,9.626,4.3
2023-04-10T11:21:22.777000Z,8.9611,93.7674,10.028,4.5
2023-04-10T00:54:56.207000Z,9.1716,93.8314,10.0,4.6
2023-04-10T00:51:40.968000Z,9.0229,93.5628,10.0,4.2
2023-04-09T23:55:02.324000Z,8.9923,93.8476,10.0,4.1
2023-04-09T21:00:08.812000Z,9.3723,93.8096,10.0,4.1
