id,latitude,longitude,time,magnitude,mc_current
1,9.3573,93.9828,2023-12-05 14:45:03,4.8,4.8
2,12.1803,95.2262,2023-11-29 08:12:24,4.8,4.8
3,12.6576,95.2787,2023-11-26 19:24:22,4.5,4.8
4,12.6444,95.2808,2023-11-26 18:16:26,4.3,4.8
5,9.1061,93.9918,2023-11-20 20:01:32,4.3,4.8
6,9.5337,93.8467,2023-11-19 13:06:42,4.3,4.8
7,9.3365,94.0812,2023-11-11 14:37:18,4.4,4.8
8,12.8381,91.724,2023-11-10 15:49:17,4.3,4.8
9,9.4971,94.0862,2023-11-09 20:55:05,4.4,4.8
10,13.4736,92.909,2023-11-08 23:21:32,4.5,4.8
11,14.67,96.1897,2023-11-03 10:33:31,4.4,4.8
12,10.9243,93.0553,2023-11-01 12:51:14,5.2,4.8
13,13.9893,92.8694,2023-10-20 00:20:08,4.4,4.8
14,9.4496,93.9888,2023-10-18 13:25:10,4.4,4.8
15,9.3696,94.0097,2023-10-16 23:13:31,4.5,4.8
16,12.1921,92.7649,2023-10-08 08:10:51,4.5,4.8
17,9.2935,93.8804,2023-10-07 23:57:26,4.5,4.8
18,9.2548,93.8582,2023-10-07 21:49:41,4.6,4.8
19,17.5005,95.7323,2023-09-23 20:23:19,4.4,4.8
20,17.1447,96.1004,2023-09-23 14:24:34,4.8,4.8
21,9.2199,93.8879,2023-09-03 09:59:03,4.7,4.8
22,9.4069,93.8627,2023-09-01 05:27:51,4.2,4.8
23,11.1246,93.6704,2023-08-28 22:20:12,4.3,4.8
24,9.1639,93.8846,2023-08-23 13:24:21,4.2,4.8
25,9.0904,93.8083,2023-08-23 13:13:33,4.4,4.8
26,9.1561,93.9692,2023-08-18 07:32:38,4.7,4.8
27,9.0272,93.9337,2023-08-18 06:40:50,4.6,4.8
28,9.5714,93.9359,2023-08-18 06:37:33,4.7,4.8
29,9.254,93.9135,2023-08-14 11:12:21,4.8,4.8
30,9.55,93.8361,2023-08-10 21:25:57,4.5,4.8
31,10.4485,93.4368,2023-08-10 18:13:36,4.1,4.8
32,9.0073,93.9087,2023-08-08 19:29:05,4.5,4.8
33,8.8732,93.8368,2023-08-07 07:23:27,5.1,4.8
34,9.1768,93.8337,2023-08-06 09:45:46,4.4,4.8
35,11.8507,92.0472,2023-08-05 09:09:25,4.8,4.8
36,9.1503,93.5087,2023-08-03 11:39:05,4.9,4.8
37,9.5163,94.0695,2023-08-02 01:07:17,5.2,4.8
38,9.3869,93.9173,2023-08-02 00:10:11,5.2,4.8
39,9.2693,93.9045,2023-08-01 13:38:51,4.5,4.8
40,10.5403,93.5342,2023-07-28 19:23:48,5.9,4.8
41,13.792,94.1092,2023-07-13 05:02:32,4.5,4.8
